route_id,trip_id,service_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
001,001_5_024_I_06:59,001_024_S,001_L1_T5_I, PLZ. MARIANO GRANADOS,,0,
001,001_5_026_I_06:59,001_026_LMXJV,001_L1_T5_I, PLZ. MARIANO GRANADOS,,0,
001,001_7_024_I_07:50,001_024_S,001_L1_T7_I,SANTA BÁRBARA-RESIDENCIA,,0,
001,001_7_024_I_09:20,001_024_S,001_L1_T7_I,SANTA BÁRBARA-RESIDENCIA,,0,
001,001_7_024_I_11:45,001_024_S,001_L1_T7_I,SANTA BÁRBARA-RESIDENCIA,,0,
001,001_7_024_I_15:55,001_024_S,001_L1_T7_I,SANTA BÁRBARA-RESIDENCIA,,0,
001,001_7_026_I_07:50,001_026_LMXJV,001_L1_T7_I,SANTA BÁRBARA-RESIDENCIA,,0,
001,001_7_026_I_09:20,001_026_LMXJV,001_L1_T7_I,SANTA BÁRBARA-RESIDENCIA,,0,
001,001_7_026_I_11:45,001_026_LMXJV,001_L1_T7_I,SANTA BÁRBARA-RESIDENCIA,,0,
001,001_7_026_I_15:55,001_026_LMXJV,001_L1_T7_I,SANTA BÁRBARA-RESIDENCIA,,0,
001,001_8_024_I_07:09,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_08:33,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_10:05,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_10:55,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_12:35,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_13:25,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_14:15,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_15:05,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_16:45,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_17:35,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_18:25,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_19:15,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_20:05,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_024_I_20:55,001_024_S,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_07:09,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_08:33,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_10:05,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_10:55,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_12:35,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_13:25,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_14:15,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_15:05,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_16:45,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_17:35,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_18:25,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_19:15,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_20:05,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_8_026_I_20:55,001_026_LMXJV,001_L1_T8_I,CALAVERÓN - PLZ. MARIANO GRANADOS,,0,
001,001_9_024_I_21:45,001_024_S,001_L1_T9_I,PZA MARIANO GRANADOS - SANTA BÁRBARA - RESIDENCIA,,0,
001,001_9_026_I_21:45,001_026_LMXJV,001_L1_T9_I,PZA MARIANO GRANADOS - SANTA BÁRBARA - RESIDENCIA,,0,
002,002_5_024_I_13:30,002_024_S,002_L2_T5_I,POLIGONO - EL SALVADOR,,0,
002,002_5_024_I_14:00,002_024_S,002_L2_T5_I,POLIGONO - EL SALVADOR,,0,
002,002_5_024_I_21:35,002_024_S,002_L2_T5_I,POLIGONO - EL SALVADOR,,0,
002,002_5_024_I_22:05,002_024_S,002_L2_T5_I,POLIGONO - EL SALVADOR,,0,
002,002_5_026_I_13:30,002_026_LMXJV,002_L2_T5_I,POLIGONO - EL SALVADOR,,0,
002,002_5_026_I_14:00,002_026_LMXJV,002_L2_T5_I,POLIGONO - EL SALVADOR,,0,
002,002_5_026_I_21:35,002_026_LMXJV,002_L2_T5_I,POLIGONO - EL SALVADOR,,0,
002,002_5_026_I_22:05,002_026_LMXJV,002_L2_T5_I,POLIGONO - EL SALVADOR,,0,
